ANNO,PROVINCIA,GENERE,COORDINATA X,COORDINATA Y,SPERANZA DI VITA ALLA NASCITA,TASSO MORTALITA' PER 1.000 ABITANTI,TASSO MORTALITA INFANTILE PER RESIDENZA PER 1.000 NATI VIVI,POSIZIONE
2012,BERGAMO,ALL,9.63853045,45.68012929,82.1,8.725547375641462,3.2,"(45.68012929, 9.63853045)"
2012,PAVIA,ALL,9.14034225,45.18407925,81.3,12.3228875548136,1.32,"(45.18407925, 9.14034225)"
2015,LODI,ALL,9.510140481,45.31535435,81.9,10.257326428302203,2.02,"(45.31535435, 9.510140481)"
2013,BERGAMO,ALL,9.63853045,45.68012929,82.3,8.446956465650967,2.71,"(45.68012929, 9.63853045)"
2016,PAVIA,M,9.14034225,45.18407925,79.7,12.818552044246056,,"(45.18407925, 9.14034225)"
2012,MANTOVA,M,10.77086348,45.14135331,79.6,11.487002739647773,2.29,"(45.14135331, 10.77086348)"
2015,REGIONE LOMBARDIA,F,,,85.1,9.519706786069595,2.74,
2015,REGIONE LOMBARDIA,ALL,,,82.8,9.94155004226683,2.54,
2012,LECCO,ALL,9.388156645,45.85028614,83.1,9.069723312657882,1.61,"(45.85028614, 9.388156645)"
2014,MILANO,F,9.18951,45.46427,86.1,8.648590357078358,2.61,"(45.46427, 9.18951)"
2016,BRESCIA,ALL,10.18167955,45.51939749,83.4,8.747090668252874,,"(45.51939749, 10.18167955)"
2013,MONZA E DELLA BRIANZA,M,9.258430902,45.5823624,81,8.275339374521314,1.89,"(45.5823624, 9.258430902)"
2014,VARESE,F,8.80650544,45.80041256,85.8,8.992893161374528,2.81,"(45.80041256, 8.80650544)"
2015,COMO,ALL,9.039360974,45.80216962,83,9.918645102075011,2.18,"(45.80216962, 9.039360974)"
2012,MONZA E DELLA BRIANZA,F,9.258430902,45.5823624,85.4,8.200159541838513,1.9,"(45.5823624, 9.258430902)"
2016,LODI,M,9.510140481,45.31535435,80.6,9.737457870897108,,"(45.31535435, 9.510140481)"
2013,REGIONE LOMBARDIA,F,,,85.1,8.997448390253526,2.74,
2016,BRESCIA,F,10.18167955,45.51939749,86,8.582620796164766,,"(45.51939749, 10.18167955)"
2015,BRESCIA,M,10.18167955,45.51939749,80.4,9.663956804121545,1.85,"(45.51939749, 10.18167955)"
2014,REGIONE LOMBARDIA,M,,,80.8,9.28772924914151,2.75,
2014,SONDRIO,ALL,9.879429303,46.1707552,81.8,10.28620332120933,0.66,"(46.1707552, 9.879429303)"
2013,MANTOVA,ALL,10.77086348,45.14135331,82.5,10.531384833547495,2.74,"(45.14135331, 10.77086348)"
2016,REGIONE LOMBARDIA,M,,,81,9.62113417229056,,
2014,SONDRIO,F,9.879429303,46.1707552,85,10.479251866686862,,"(46.1707552, 9.879429303)"
2016,LECCO,F,9.388156645,45.85028614,85.7,9.177169693774859,,"(45.85028614, 9.388156645)"
2012,VARESE,F,8.80650544,45.80041256,85.1,9.484262280775205,2.71,"(45.80041256, 8.80650544)"
2015,CREMONA,F,10.0131151,45.13644491,84.2,10.561660044449338,5.46,"(45.13644491, 10.0131151)"
2012,VARESE,ALL,8.80650544,45.80041256,82.6,9.70774938311291,2.77,"(45.80041256, 8.80650544)"
2015,MILANO,F,9.18951,45.46427,85.5,9.397622957991256,2.47,"(45.46427, 9.18951)"
2013,CREMONA,ALL,10.0131151,45.13644491,82,10.796280974041133,2.41,"(45.13644491, 10.0131151)"
2015,COMO,F,9.039360974,45.80216962,85.4,9.447654610373682,2.7,"(45.80216962, 9.039360974)"
2014,MANTOVA,M,10.77086348,45.14135331,80.5,11.048187347845863,2.97,"(45.14135331, 10.77086348)"
2012,COMO,F,9.039360974,45.80216962,85.7,9.290944196983311,3.85,"(45.80216962, 9.039360974)"
2016,MONZA E DELLA BRIANZA,ALL,9.258430902,45.5823624,83.9,8.444120384913555,,"(45.5823624, 9.258430902)"
2015,SONDRIO,ALL,9.879429303,46.1707552,82.3,10.38488391909796,3.46,"(46.1707552, 9.879429303)"
2012,ITALIA,ALL,,,81.9,10.293683458387953,3,
2012,LODI,ALL,9.510140481,45.31535435,81.1,9.811839619807902,2.34,"(45.31535435, 9.510140481)"
2015,MILANO,M,9.18951,45.46427,81,9.957209212338137,2.75,"(45.46427, 9.18951)"
2013,CREMONA,F,10.0131151,45.13644491,84.4,9.939303684649923,0.66,"(45.13644491, 10.0131151)"
2015,MANTOVA,ALL,10.77086348,45.14135331,82.6,11.268599289430735,3.68,"(45.14135331, 10.77086348)"
2013,MILANO,M,9.18951,45.46427,80.7,9.11059948077853,1.91,"(45.46427, 9.18951)"
2016,SONDRIO,F,9.879429303,46.1707552,85.1,10.181351813518134,,"(46.1707552, 9.879429303)"
2012,CREMONA,M,10.0131151,45.13644491,79.2,12.210244640001742,4.01,"(45.13644491, 10.0131151)"
2015,MONZA E DELLA BRIANZA,M,9.258430902,45.5823624,81.4,9.362522996414425,2.47,"(45.5823624, 9.258430902)"
